Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
10 Cloverfield Lane;2016;5000000;72083000;103;72;268014;585;2;3.077;108286400
10 Things I Hate About You;1999;13000000;38178000;97;73;275715;688;7;2.18;60414000
102 Dalmatians;2000;85000000;66941600;100;49;32559;451;3;0.887;66941600
12 Angry Men;1957;340000;0;96;89;615792;1004;2;1.892;0
12 Rounds;2009;20000000;12234700;108;56;26220;693;6;1.299;17306600
12 Years a Slave;2013;20000000;56672000;134;81;590724;677;9;1.92;181025300
127 Hours;2010;18000000;18335200;94;76;329664;312;5;2.244;60217200
13 Going On 30;2004;37000000;57139700;98;61;153514;821;2;2.558;97658700
1408;2007;22500000;71985600;104;68;245059;817;2;1.346;131263400
15 Minutes;2001;42000000;24375400;120;61;46849;779;3;1.797;56331900
16 Blocks;2006;45000000;36895100;102;66;122713;723;2;1.66;65595100
17 Again;2009;40000000;64167100;102;63;170007;614;7;5.375;139474900
1941;1979;32000000;34175000;118;58;29678;792;12;1.894;94875000
2 Fast 2 Furious;2003;76000000;127120100;107;59;236719;760;6;3.684;236410600
2 Guns;2013;61000000;75612500;109;67;184847;746;7;1.475;132493000
20,000 Leagues Under the Sea;1954;5000000;28200000;105;62;1438;338;4;1.479;28200000
200 Cigarettes;1999;6000000;6852500;101;60;14192;314;13;6.051;6852500
2001: A Space Odyssey;1968;10500000;56700000;149;83;556857;690;3;3.768;68700000
2012;2009;200000000;166112200;158;58;333877;787;7;2.541;788408500
2046;2005;12000000;1442300;129;74;47679;2256;4;5.408;19287500
21;2008;35000000;81159400;105;72;49;683;4;1.903;159846400
21 Grams;2003;20000000;16248700;124;77;215233;712;3;1.405;59667600
21 Jump Street;2012;42000000;138447700;109;72;485704;688;8;2.471;202812400
25th Hour;2002;4500000;13084600;135;76;164009;754;6;0.928;25344500
27 Dresses;2008;30000000;76808700;111;61;146936;777;5;3.604;160247800
28 Days;2000;43000000;37035500;103;60;41561;898;2;2.339;62064000
28 Weeks Later;2007;15000000;28638900;100;70;245442;734;4;1.771;64232700
3;2011;7200000;59800;65;52;5;1015;1;2.562;295500
3 Days to Kill;2014;28000000;30698000;117;62;82914;660;2;3.182;38959900
3 Ninjas Kick Back;1994;20000000;11745000;93;45;7980;722;5;1.385;11745000
3 Strikes;2000;4000000;9821300;82;47;2834;874;2;2.86;9821300
3:10 to Yuma;2007;48000000;53606900;92;76;17003;805;4;2.609;71171800
30 Days of Night;2007;30000000;39569000;113;66;157824;579;3;1.727;80276200
30 Minutes or Less;2011;28000000;37053900;83;61;88936;845;6;2.012;40966700
300;2007;60000000;210614900;117;77;701963;702;3;1.567;454161900
300: Rise of an Empire;2014;110000000;106580100;102;62;267586;831;2;1.564;330780100
3000 Miles to Graceland;2001;62000000;15738600;125;60;42187;719;7;1.53;18708800
40 Days and 40 Nights;2002;17000000;37939800;96;56;68058;381;3;5.512;95092700
42;2013;40000000;95020200;128;75;79081;404;14;2.97;97470700
42nd Street;1933;439000;1438000;89;74;9891;507;3;3.55;2281000
47 Ronin;2013;175000000;38362500;132;65;413;859;8;1.281;151716800
50 First Dates;2004;75000000;120776800;99;68;309014;866;2;3.464;196320300
50 to 1;2014;10000000;1069500;110;64;1790;78;2;2.564;1069500
50/50;2011;8000000;35016100;51;90;10;584;5;3.425;41334700
51 Birch Street;2006;350000;84700;90;73;781;223;3;4.036;84700
54;1998;13000000;16757200;93;59;30479;51;4;5.882;16757200
55 Days at Peking;1963;17000000;10000000;154;67;5574;458;3;1.747;10000000
8 Heads in a Duffel Bag;1997;3000000;3602900;95;54;9132;544;6;2.206;4002900
8 Mile;2002;41000000;116724100;110;71;233327;541;6;3.512;245768400
8 Million Ways to Die;1986;18000000;1305100;115;58;4149;619;3;1.777;1305100
88 Minutes;2008;30000000;16930900;108;59;72182;680;8;1.471;32955400
8MM;1999;40000000;36443400;123;65;117503;535;6;1.869;96398800
9;2009;30000000;31749900;90;48;13;749;6;3.071;48560000
A Bad Moms Christmas;2017;28000000;72110700;104;55;34666;774;9;3.23;127710700
A Beautiful Mind;2001;78000000;170709000;135;82;788333;702;3;1.709;317668100
A Better Life;2011;10000000;1759300;98;72;14725;251;2;1.594;1884300
A Bridge Too Far;1977;26000000;50800000;175;74;48223;692;12;2.89;50800000
A Bug's Life;1998;45000000;162798600;95;72;251505;588;4;1.02;363095300
A Christmas Story;1983;3250000;20605200;94;80;122756;246;3;2.033;20605200
A Cinderella Story;2004;19000000;51438200;95;59;76326;1217;3;1.972;70164100
A Civil Action;1998;60000000;56710000;115;66;26173;574;9;3.31;56710000
A Dangerous Method;2011;20000000;5702100;99;64;94405;563;5;2.664;14807500
A Dog of Flanders;1999;7000000;2165600;72;66;90;903;3;1.44;2165600
A Dog's Breakfast;2007;120000;0;88;68;3475;329;2;4.559;0
A Farewell To Arms;1957;5000000;11000000;80;65;4581;410;3;4.39;11014700
A Few Best Men;2015;15000000;0;97;57;12193;60;2;3.333;17224500
A Few Good Men;1992;33000000;141340200;138;77;218821;576;5;1.042;236500000
A Good Year;2006;35000000;7459300;117;70;83743;727;1;3.026;42064100
A Guy Named Joe;1943;2627000;5363000;120;70;2061;335;3;4.478;5363000
A Hard Day's Night;1964;560000;1537900;87;76;37565;482;1;4.149;1597200
A Haunted House;2013;2500000;40041700;86;50;41121;702;0;2.137;59922600
A Haunted House 2;2014;4000000;17329500;86;47;18536;965;2;3.316;21206900
A History of Violence;2005;32000000;31493800;96;74;213705;631;3;2.377;61477800
A League of Their Own;1992;40000000;107533900;128;72;85953;686;7;3.061;132440100
A Little Bit of Heaven;2012;12500000;10000;87;67;20;639;7;5.79;1100300
A Lonely Place to Die;2012;4000000;0;99;62;25817;540;9;0.926;442600
A Lot Like Love;2005;25000000;21835800;107;66;65305;199;2;8.04;41921600
A Low Down Dirty Shame;1994;10000000;29317900;100;60;6155;661;2;2.269;29317900
A Man Apart;2003;36000000;26500000;109;61;42852;257;3;1.167;43797700
A Man for All Seasons;1966;3900000;28350000;120;77;28753;818;4;1.834;28350000
A Midnight Clear;1992;5000000;1526700;108;71;7880;491;4;3.462;1526700
A Mighty Heart;2007;15000000;9176800;108;66;25972;81;1;0;19153600
A Mighty Wind;2003;6000000;17583500;91;72;24568;742;6;2.156;18504500
A Million Ways to Die in The West;2014;40000000;42721000;116;61;162923;572;3;3.322;86778600
A Monster Calls;2017;43000000;3740800;108;75;73089;733;5;3.274;46422100
A Most Wanted Man;2014;15000000;17237900;122;68;68852;417;7;4.796;36068900
A Night at the Roxbury;1998;17000000;30331200;82;63;54050;721;4;1.248;30331200
A Nightmare on Elm Street;2010;35000000;63075000;91;75;190827;633;6;2.844;117729600
A Passage to India;1984;27500000;27187700;164;73;15875;469;3;0.213;27187700
A Perfect Getaway;2009;14000000;15515500;98;65;64824;717;6;0.976;22815500
A Prairie Home Companion;2006;10000000;20342900;105;67;21194;152;6;3.29;26716200
A Room for Romeo Brass;2000;5250000;20100;90;76;5170;439;2;2.05;20100
A Room with a View;1986;3000000;20966600;117;73;36691;652;4;4.448;20966600
A Scanner Darkly;2006;20000000;5501600;100;71;102038;898;4;2.673;7405100
A Serious Man;2009;7000000;9228800;106;70;124217;592;2;1.689;30360600
A Simple Plan;1998;17000000;16316300;121;75;59356;648;4;2.006;16316300
A Simple Wish;1997;28000000;8165200;89;54;4933;758;3;1.451;8165200
A Single Man;2009;7000000;9176000;60;73;28;314;4;4.459;28142400
A Sound of Thunder;2005;80000000;1900500;101;42;18281;683;3;5.125;6300500
A Street Cat Named Bob;2016;8000000;82700;103;74;24071;481;4;3.534;8370600
A Streetcar Named Desire;1951;1800000;8000000;122;80;93149;976;4;1.844;8000000
A Thousand Words;2012;40000000;18450100;91;59;37101;609;9;2.627;20790500
A Time to Kill;1996;40000000;108766000;149;75;121687;502;9;1.394;152266000
A Very Harold & Kumar 3D Christmas;2011;20000000;35061000;90;63;62825;593;4;4.047;36265700
A View to a Kill;1985;30000000;50328000;131;64;81774;789;4;2.155;152628000
A Walk Among the Tombstones;2014;28000000;26017700;114;65;106817;620;2;1.29;62108600
A Walk on the Moon;1999;14000000;4742000;95;60;24;357;4;3.361;4742000
A Walk to Remember;2002;11000000;41227100;101;74;190771;661;4;3.631;46060900
Abandon;2002;25000000;10719400;99;49;8929;645;3;2.946;12219400
Abduction;2011;35000000;28087200;95;52;183;935;6;1.604;86648400
About a Boy;2002;27000000;40803000;101;70;164116;588;3;3.912;130759700
About Last Night;2014;13000000;48637700;100;61;21430;85;4;7.059;50445900
About Schmidt;2002;30000000;65005200;125;71;118414;714;6;2.801;107054500
About Time;2013;12000000;15323900;123;78;273590;1000;9;5.9;89309200
Above and Beyond;2015;1300000;288800;122;69;982;280;2;2.5;288800
Abraham Lincoln: Vampire Hunter;2012;67500000;37519100;105;59;144543;702;6;1.994;137489700
Ace Ventura: Pet Detective;1994;12000000;72217400;86;69;260133;578;5;0.692;107217400
Ace Ventura: When Nature Calls;1995;30000000;108360100;90;64;191321;709;4;1.834;212400000
Across the Universe;2007;45000000;24343700;133;73;102641;914;3;2.188;29367100
Act of Valor;2012;12000000;70012800;110;65;64269;710;7;1.127;82497000
Action Jackson;1988;7000000;20257000;96;54;9404;710;4;2.113;20257000
Adam;2009;3200000;2283300;90;59;20;594;7;3.535;2834500
Adaptation;2002;18500000;22498500;115;77;167477;426;3;2.113;32531800
Addicted;2014;5000000;17390800;110;69;1209;562;2;2.669;17499200
Admission;2013;13000000;18007300;107;57;32151;317;5;5.363;18733700
Adoration;2009;4000000;294200;73;76;9;243;6;3.292;384200
Adventureland;2009;9800000;16044000;107;68;147976;767;7;3.26;17553100
After Earth;2013;130000000;60522100;100;48;184298;694;2;1.009;251499700
After Hours;1985;4500000;10609300;97;77;51547;692;7;1.012;10609300
After the Sunset;2004;57000000;28328100;97;63;42823;521;4;2.879;38329100
After.Life;2010;4500000;108600;119;77;9029;528;4;1.894;2481900
Against the Ropes;2004;39000000;5881500;110;53;6525;254;2;3.15;6429900
Agent Cody Banks;2003;25000000;47545100;102;50;31315;739;2;3.518;58240500
Agent Cody Banks 2: Destination London;2004;26000000;23514200;100;45;13288;660;2;0.606;28703100
Ain't Them Bodies Saints;2013;5000000;391600;96;64;19682;614;7;1.792;1075000
Air Bud;1997;3000000;24646900;98;52;15464;960;2;2.188;27788600
Air Force One;1997;85000000;172956400;124;65;170084;909;3;1.87;315268400
Airplane!;1980;3500000;83453500;88;77;194792;352;7;3.693;83453500
Akeelah and the Bee;2006;8000000;18848400;112;73;17466;646;3;2.167;18959400
Akira;2001;8000000;19600;124;81;146045;693;0;1.299;19600
Aladdin;1992;28000000;217350200;95;54;2746;615;3;1.951;504050200
Albert Nobbs;2011;7500000;3014700;113;67;22483;550;4;2.182;8539000
Albino Alligator;1997;5000000;353500;97;61;7331;202;4;4.951;353500
Alex & Emma;2003;30000000;14208400;96;56;12644;401;3;4.988;15358600
Alex Cross;2012;35000000;25888400;101;51;31215;320;12;2.188;35426800
Alexander;2004;155000000;34297200;175;56;156282;440;8;3.182;167297200
Alexander and the Terrible, Horrible, No Good, Very Bad Day;2014;28000000;66954100;81;62;38136;778;2;2.314;101379300
Alfie;2004;40000000;13395900;114;71;12643;719;7;5.841;35195900
Ali;2001;109000000;58184000;157;68;89019;588;6;3.742;87684000
Alice in Wonderland;2010;200000000;334191100;52;62;349;227;1;3.965;1025491100
Alice Through the Looking Glass;2016;170000000;77042400;113;62;82834;1087;3;1.472;277442400
Alien;1979;9000000;80930600;117;84;732185;687;7;0.582;203630600
Alien: Covenant;2017;97000000;74262000;122;64;234007;729;15;1.783;238862000
Alien: Resurrection;1997;60000000;47795000;109;62;215352;736;4;1.902;160700000
Aliens;1986;17000000;85160200;137;84;613249;791;7;1.644;183316500
Aliens in the Attic;2009;45000000;25200400;86;54;19722;787;6;3.304;59551300
Aliens vs. Predator - Requiem;2007;40000000;41797100;94;47;111031;821;5;1.462;128884500
Alive;1993;32000000;36299700;120;71;46914;761;3;1.051;36299700
All About Steve;2009;15000000;33862900;99;48;38246;427;3;3.279;40127300
All About the Benjamins;2002;14000000;25482900;95;59;12129;952;3;1.996;25873100
All Eyez on Me;2017;45000000;44922300;139;58;19197;490;9;2.857;54876900
All Good Things;2010;20000000;582000;101;63;50373;227;5;3.084;873600
All Hat;2008;4900000;15200;89;52;488;170;3;1.177;15200
All is Lost;2013;8500000;6263700;106;69;72295;376;1;2.128;10386800
All or Nothing;2002;9000000;184300;128;75;9366;236;2;2.966;184300
All Saints;2017;2000000;5802200;108;60;1345;44;5;2.273;5942000
All the King's Men;2006;55000000;7221500;110;75;12209;414;5;2.899;9521500
All the Pretty Horses;2000;45000000;15527100;116;58;12508;582;7;2.577;18120300
All the Real Girls;2003;1000000;549700;108;68;10018;217;3;8.756;703000
All You Need Is Love;2014;300000;0;90;68;9;212;2;1.887;0
Almost Famous;2000;60000000;32522400;122;79;238228;695;7;1.295;47371200
Aloft;2015;8000000;53100;112;53;3075;806;3;1.985;53100
Aloha;2015;37000000;21052000;90;61;13;817;2;1.591;24935800
Alone in the Dark;2005;20000000;5178600;102;68;218;816;2;1.348;8178600
Alone with Her;2007;1000000;10800;78;60;3673;261;3;5.747;844400
Along Came a Spider;2001;28000000;74058700;104;64;70182;371;3;2.695;105159100
Along Came Polly;2004;42000000;88073500;90;59;120096;438;5;2.283;173044400
Alvin and the Chipmunks;2007;55000000;217327000;92;52;71063;719;8;1.113;362605000
Alvin and the Chipmunks: Chipwrecked;2011;80000000;133107400;87;43;28966;726;14;0.826;349088500
Alvin and the Chipmunks: The Squeakquel;2009;70000000;219614600;88;45;40309;644;9;0.621;443483200
Amadeus;1984;18000000;51973000;160;83;344597;643;4;1.555;51973000
Amelia;2009;40000000;14279600;111;58;11512;441;3;3.628;19756100
Amen;2003;14000000;274300;72;55;435;291;3;3.436;274300
American Beauty;1999;15000000;130058000;122;83;1007782;593;8;3.541;356258000
American Dreamz;2006;17000000;7314000;107;54;23808;641;4;3.12;16511000
American Gangster;2007;100000000;130164600;157;78;372637;627;2;2.073;267985500
American Graffiti;1973;777000;115000000;110;74;76279;772;9;3.109;140000000
American History X;1998;10000000;6719900;119;85;971569;588;8;2.891;6719900
American Hustle;2013;40000000;150117800;138;72;424592;644;5;1.863;257878300
American Ninja 2: The Confrontation;1987;350000;4000000;90;49;7513;711;2;2.11;4000000
American Outlaws;2001;35000000;13265000;94;60;13331;711;3;2.391;13601100
American Pie;1999;12000000;101800900;86;69;52;938;12;3.838;234723100
American Pie 2;2001;30000000;145096800;108;64;228579;762;7;4.068;286500000
American Psycho;2000;8000000;15070300;101;76;443873;694;3;6.484;28674400
American Wedding;2003;55000000;104354200;96;63;185456;687;6;2.475;126425100
America's Sweethearts;2001;46000000;93607700;102;57;52864;815;4;4.049;160648500
Amigo;2011;1500000;184700;85;72;33;133;2;0.752;184700
Amistad;1997;40000000;44212600;155;73;67058;692;6;1.59;58250200
Among Giants;1999;4000000;64400;94;60;859;380;3;3.158;64400
An Alan Smithee Film: Burn Hollywood Burn;1998;10000000;45800;86;35;3228;86;2;0;45800
An American Carol;2008;20000000;7013200;83;41;9177;481;3;2.287;7022200
An Education;2009;7500000;12574900;100;73;124226;813;4;2.583;29652700
An Everlasting Piece;2000;4000000;75100;103;63;1517;501;4;3.992;75100
An Ideal Husband;1999;10700000;18543000;96;65;531;67;5;5.97;31341200
An Unfinished Life;2005;30000000;8535600;108;70;27732;655;4;3.359;18535600
Anaconda;1997;45000000;65598900;89;48;89271;714;7;1.681;136998900
Anacondas: The Hunt for the Blood Orchid;2004;25000000;31526400;97;46;26913;795;4;1.509;70326400
Analyze That;2002;60000000;32122200;96;59;79061;444;3;2.027;54994800
Analyze This;1999;30000000;106885700;103;67;139631;576;3;1.215;176885700
Anchorman: The Legend of Ron Burgundy;2004;25000000;84136900;94;72;313447;677;4;2.659;89476300
And So It Goes;2014;18000000;15160800;94;58;11826;161;2;0.621;17762000
Angel Eyes;2001;38000000;24044500;84;42;168;795;3;3.27;29544500
Angels & Demons;2009;150000000;133375800;138;67;257365;947;7;1.267;490875800
Anger Management;2003;56000000;135560900;106;62;194409;898;6;3.564;195660900
Animal Kingdom;2010;4200000;1044000;113;73;52223;688;3;1.163;8078700
Anna;2014;4357400;0;108;69;37;22;3;0;1200000
Anna and the King;1999;75000000;39251100;148;67;34489;781;2;2.433;39251100
Anna Karenina;2012;49000000;12816400;53;52;17;61;2;6.557;71004600
Annabelle;2014;6500000;84273800;99;54;129778;543;2;2.21;256862900
Annabelle: Creation;2017;15000000;102092200;109;65;99438;690;10;2.754;305492200
Annie;2014;65000000;85911300;86;49;125;524;8;1.718;139840500
Annie Hall;1977;4000000;38251400;93;80;239768;529;2;4.726;38251400
Anonymous;2011;27500000;4463300;82;47;186;618;3;2.104;15815500
Another Earth;2011;175000;1321200;92;70;86935;440;2;2.5;2102800
Another Year;2010;8000000;3205700;129;73;26582;455;3;3.077;20005600
Antitrust;2001;30000000;10965200;105;61;27666;378;4;5.556;17865200
Antiviral;2013;3100000;0;108;57;11201;707;3;0.707;123400
Ant-Man;2015;130000000;180202200;117;73;521836;597;2;1.675;519338000
Antwone Fisher;2002;12500000;21078100;120;73;31094;594;4;3.367;23367600
Antz;1998;60000000;90757900;83;65;140777;610;9;3.934;152457900
Any Given Sunday;1999;60000000;75530800;162;69;107592;483;8;3.52;100230800
Anywhere But Here;1999;23000000;18653600;114;62;16311;231;4;6.061;18653600
Apocalypse Now;1979;31500000;78800000;147;84;562069;558;8;1.971;81250500
Apocalypto;2006;40000000;50866600;139;78;274485;616;4;0.649;121032300
Apollo 13;1995;65000000;172070500;140;76;251037;674;6;3.561;334100000
Apollo 18;2011;5000000;17686900;86;52;52025;773;2;1.811;26517800
Appaloosa;2008;20000000;20211400;115;67;56279;628;4;2.548;27911500
April Fool's Day;1986;5000000;12947800;89;62;12960;543;2;2.21;12947800
Aqua Teen Hunger Force Colon Movie Film for Theaters;2007;750000;5520400;86;67;12967;1244;2;1.527;5520400
Aquamarine;2006;12000000;18597300;104;53;36140;832;2;4.087;22979000
Arachnophobia;1990;31000000;53208200;109;64;59507;632;4;1.899;53208200
Ararat;2002;15500000;1693000;115;63;11045;302;8;2.318;1693000
Arbitrage;2012;12000000;7919600;107;66;47566;429;6;2.098;35830700
Are We There Yet?;2005;20000000;82674400;95;47;27441;721;1;2.635;98114500
Argo;2012;44500000;136025500;106;71;3363;521;26;1.344;227140800
Arlington Road;1999;21500000;24419200;117;72;77551;812;4;0.862;24419200
Armageddon;1998;140000000;201578200;151;67;376915;657;8;1.674;554600000
Armored;2009;20000000;15988900;88;57;28894;454;8;1.322;23661000
Around the World in 80 Days;2004;110000000;24004200;121;67;6;904;3;1.217;72004200
Arrowhead;2017;180000;0;105;61;1054;667;2;1.05;0
Arthur;2011;40000000;33035400;97;69;24308;409;6;3.179;47787900
Arthur Christmas;2011;85000000;46462500;97;71;46055;859;14;1.63;149717100
As Above, So Below;2014;5000000;21222300;52;58;22;757;2;2.378;41824100
Assassins;1995;50000000;30306300;132;63;73770;328;3;1.524;83306300
Assault On Precinct 13;2005;30000000;20040900;91;74;40251;575;3;1.044;36040900
Astro Boy;2009;65000000;19551100;94;63;31154;708;7;1.977;41636200
At First Sight;1999;40000000;22365100;128;60;12568;682;5;3.079;22365100
ATL;2006;17000000;21170600;105;61;10378;458;3;3.493;21170600
Atlantis: The Lost Empire;2001;90000000;84052800;95;69;94827;705;3;1.844;186049000
Atonement;2007;30000000;50980200;123;78;232454;838;2;2.148;129779700
Attack the Block;2011;13000000;1024200;88;66;95076;988;5;1.923;6459200
August;2008;3400000;12600;97;66;48;97;4;5.155;12600
August Rush;2007;25000000;31664200;114;75;100037;880;5;1.364;66015900
August: Osage County;2013;25000000;37738800;121;72;80511;633;12;2.37;50738800
Austin Powers in Goldmember;2002;63000000;213117800;94;62;186860;769;3;1.561;296338700
Austin Powers: International Man of Mystery;1997;18000000;53884000;94;70;210402;560;7;1.429;67684000
Austin Powers: The Spy Who Shagged Me;1999;35000000;206040100;95;66;206920;700;7;2.714;312383500
Australia;2008;130000000;49554000;140;63;174;705;2;1.418;215080800
Autumn in New York;2000;40000000;37752900;103;57;23701;1055;2;5.592;90717700
Avatar;2009;425000000;760507600;162;78;1064742;721;9;2.219;2783919000
Avengers: Age of Ultron;2015;330600000;459005900;141;73;687427;601;3;2.33;1408218700
Awake;2007;8600000;14373800;84;65;70245;388;5;3.608;32968600
Away We Go;2009;21000000;9451900;98;70;50017;568;11;1.409;10108000
Baahubali: The Beginning;2015;40000000;6738000;159;81;95502;487;3;1.848;26736700
Babe;1995;30000000;63658900;80;63;51;672;3;0.893;246100000
Babe: Pig in the City;1998;80000000;18319900;97;57;29988;609;3;0.821;69131900
Babel;2006;20000000;34302800;95;37;171;1399;4;1.644;132121200
Baby Boy;2001;16000000;28734600;130;64;11971;659;3;3.338;28734600
Baby Driver;2017;34000000;107825900;113;76;385550;582;8;2.062;228104200
Baby Geniuses;1999;13000000;27151500;97;26;24192;521;6;1.919;27151500
Baby Mama;2008;30000000;60494200;99;60;39898;432;5;3.935;64170400
Babylon A.D.;2008;45000000;22532600;90;56;90729;695;7;1.871;70216500
Baby's Day Out;1994;50000000;16581600;99;61;41903;696;4;1.581;16581600
Bachelorette;2012;3000000;446800;87;53;43701;712;7;2.528;12577400
Back to the Future;1985;19000000;212259800;116;85;963213;497;6;1.61;385524900
Back to the Future Part II;1989;40000000;118450000;108;78;439167;565;3;3.009;332000000
Back to the Future Part III;1990;40000000;88055300;118;74;369855;671;5;1.788;244088700
Bad Boys;1995;23000000;65647400;123;72;12957;655;4;1.527;141247400
Bad Boys II;2003;130000000;138540900;147;66;210353;523;2;3.059;273272000
Bad Company;2002;70000000;30157000;76;66;86;100;3;2;69157000
Bad Moms;2016;20000000;113257300;100;62;104501;691;1;2.316;181457300
Bad Santa;2003;18000000;60060300;91;70;128188;835;3;6.228;77147000
Bad Teacher;2011;19000000;100292900;92;56;183932;819;5;2.686;215449000
Baggage Claim;2013;8500000;21569500;96;51;8405;206;10;4.369;22885800
Bait;2000;35000000;15325100;73;48;17;104;2;2.885;15472000
Ballistic: Ecks vs. Sever;2002;70000000;14294800;91;37;18472;489;5;0.614;14294800
Bambi;1942;858000;102797000;70;73;121384;492;0;4.675;268000000
Bamboozled;2000;10000000;2185300;135;65;9649;629;5;4.452;2373900
Bandslam;2009;20000000;5211000;111;63;13279;869;5;4.143;12967800
Bang;1996;10000;500;98;63;468;39;2;5.128;500
Bangkok Dangerous;2008;45000000;15298100;105;66;3389;854;1;2.576;46598100
Barbershop;2002;12000000;75781600;102;63;28193;388;2;1.804;77063500
Barbershop 2: Back in Business;2004;18000000;65070400;106;57;13607;425;3;4;65842400
Barbershop: The Next Cut;2016;20000000;54030100;111;59;13539;113;2;3.54;54404200
Barfi;2012;4600000;2804900;105;66;120;593;3;3.035;36752000
Barney's Version;2011;30000000;7502600;134;73;23252;703;7;1.992;8845600
Barry Lyndon;1975;11000000;20000000;185;81;136012;1365;4;2.271;20169900
Basic;2003;50000000;26599200;98;65;56816;750;3;1.067;42598500
Basic Instinct 2;2006;70000000;5946100;114;43;35625;677;4;2.659;35417200
Basquiat;1996;3000000;2962100;107;69;18496;183;3;4.372;2962100
Bathing Beauty;1944;2361000;3500000;101;66;1363;760;2;2.5;3500000
Batman;1989;35000000;251188900;260;64;1712;335;4;2.985;411348900
Batman Begins;2005;150000000;205343800;140;82;1222639;713;6;2.104;359142700
Batman Forever;1995;100000000;184031100;121;54;224322;620;7;5.323;336529100
Batman Returns;1992;80000000;162833600;126;70;258328;691;3;4.631;266824300
Batman v Superman: Dawn of Justice;2016;250000000;330360200;151;65;589039;675;2;7.111;868160200
Bats;1999;6500000;10155700;91;39;9139;713;2;1.683;10155700
Battle for the Planet of the Apes;1973;1800000;8800000;93;55;27343;652;3;3.528;8800000
Battle of the Year;2013;20000000;8888400;110;50;8842;96;5;4.167;16723400
Battle: Los Angeles;2011;70000000;83552400;116;57;168546;739;16;1.895;213464000
Battleship;2012;209000000;65233400;131;58;227585;647;12;1.546;305218200
Baywatch;2017;60000000;58060200;116;55;144880;740;13;2.973;176533600
Be Cool;2005;75000000;55849400;118;56;65315;439;6;3.417;94944000
Be Kind Rewind;2008;20000000;11175200;102;64;86425;658;3;2.432;30894200
Beastly;2011;17000000;27865600;86;56;73349;408;7;2.451;38028200
Beasts of the Southern Wild;2012;1800000;12795700;93;73;78079;452;10;3.54;23265100
Beautiful;2000;9000000;3134500;114;78;3618;530;3;1.509;3134500
Beautiful Creatures;2013;50000000;19452100;86;59;3349;1058;7;3.119;60282900
Beauty and the Beast;2017;160000000;504014200;96;79;22691;457;4;2.845;1263109600
Beauty Shop;2005;25000000;36351400;105;55;15503;524;1;2.099;38351400
Beavis and Butt-Head Do America;1996;12000000;63118400;81;68;49089;1042;5;1.248;63118400
Because I Said So;2007;39000000;42674000;102;57;36114;244;4;5.328;69538800
Because of Winn-Dixie;2005;15000000;32647000;106;63;9890;404;3;3.218;33508500
Becoming Jane;2007;16500000;18663900;120;71;55385;693;2;2.453;39380900
Bedazzled;2000;48000000;37880000;103;69;7899;1140;2;4.035;90376200
Bedtime Stories;2008;80000000;110102000;99;60;83749;534;4;4.494;221468900
Bee Movie;2007;150000000;126631300;91;61;131142;674;3;3.858;287594600
Beerfest;2006;17500000;19185200;110;63;61703;542;2;3.875;20159300
Beetlejuice;1988;15000000;73326700;92;75;238716;582;6;1.031;73326700
Before I Go to Sleep;2014;22000000;3242500;92;63;66273;754;6;3.979;19563600
Before Midnight;2013;3000000;8110600;63;59;130;274;2;4.015;23251900
Before Sunrise;1995;2500000;5274000;101;81;244655;535;2;4.486;5683200
Before Sunset;2004;2000000;5792800;85;74;18;400;2;3.75;11217300
Behind Enemy Lines;2001;40000000;58855700;90;50;410;259;3;1.544;58855700
Being John Malkovich;1999;13000000;22858900;113;77;292677;756;4;5.027;32382400
Being Julia;2004;18000000;7739000;104;70;11633;556;2;4.137;14488700
Bella;2007;3300000;8093400;85;60;62;530;3;3.396;12405500
Bend it Like Beckham;2003;5600000;32543400;112;66;100355;751;3;2.53;74566000
Beneath Hill 60;2014;9000000;0;122;70;7035;601;1;3.827;3440900
Beneath the Planet of the Apes;1970;3000000;17489000;95;61;39550;665;4;1.504;17489000
Ben-Hur;2016;95000000;26410500;212;81;205236;752;7;3.989;88725100
Ben-Hur: A Tale of the Christ;1925;3900000;9000000;143;78;6881;187;4;4.813;9000000
Benji;1974;500000;31559600;86;61;4110;767;1;2.999;31559600
Beowulf;2007;150000000;82280600;95;41;10718;285;2;2.456;195080600
Bernie;2012;6000000;9204500;87;72;3193;250;3;2.4;10107000
Best in Show;2000;6000000;18621200;90;74;51892;346;6;2.601;20695400
Better Luck Tomorrow;2003;250000;3802400;101;70;8711;881;3;2.724;3809200
Beverly Hills Chihuahua;2008;20000000;94514400;91;38;21337;448;4;1.339;154218200
Beverly Hills Cop;1984;15000000;234760500;105;73;151717;548;6;2.19;316300000
Beverly Hills Cop II;1987;20000000;153665000;100;65;100327;726;6;1.377;276665000
Bewitched;2005;80000000;63313200;65;56;451;21;2;14.286;131159300
Beyond Borders;2003;60000000;4426300;127;65;25404;170;2;4.706;11427100
Beyond the Black Rainbow;2012;1100000;56500;110;61;11372;774;4;1.163;56500
Beyond the Lights;2014;7000000;14618700;116;69;14335;108;2;2.778;14618700
Beyond the Sea;2004;24000000;6144800;118;67;14116;467;4;2.141;8292900
Beyond the Valley of the Dolls;1970;1000000;9000000;109;62;9309;574;3;4.704;9000000
Bicentennial Man;1999;90000000;58220800;132;69;104140;799;6;6.008;87420800
