Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Semi-Pro;2008;55000000;33479700;91;58;75255;682;3;1.76;43980400
Sense and Sensibility;1995;16500000;42993800;136;76;94268;649;4;2.774;134993800
Serendipity;2001;28000000;50255300;90;69;99116;479;2;4.593;77477300
Serenity;2005;39000000;25514500;119;78;273468;720;4;1.667;40319400
Serial Mom;1994;13000000;7881300;95;67;25270;803;4;1.619;7881300
Serving Sara;2002;29000000;16930200;99;53;16150;557;3;1.975;20146200
Session 9;2001;1500000;378200;100;64;50444;1074;5;2.235;1619600
Set It Off;1996;9000000;36049100;123;69;12882;559;5;2.147;36049100
Seven Pounds;2008;54000000;69951800;123;76;272711;1187;4;3.033;166617300
Seven Psychopaths;2012;13500000;15024000;110;72;227346;671;4;2.683;33035700
Seven Years in Tibet;1997;70000000;37945900;136;71;115589;431;4;2.32;131445900
Seventh Son;2015;95000000;17725800;102;55;67580;881;2;2.27;111125800
Sex and the City;2008;57500000;152647300;145;56;111713;865;5;4.509;415247300
Sex and the City 2;2010;95000000;95347700;146;44;70469;798;10;4.887;294680800
Sex Drive;2008;19000000;8402500;68;54;16;713;5;2.665;10412500
Sex Tape;2014;40000000;38543500;94;51;102192;265;2;2.642;126069500
Sex, Lies, and Videotape;1989;1200000;24741700;100;72;45704;805;4;4.721;36741700
Sexy Beast;2001;4300000;6946100;89;73;51082;441;5;2.268;10158400
Sgt. Bilko;1996;39000000;30356600;93;58;20453;346;3;1.156;37956600
Shadow Conspiracy;1997;45000000;2154500;103;49;4226;92;6;4.348;2154500
Shadow of the Vampire;2000;8000000;8279000;92;69;38504;633;2;1.738;8279000
Shadowlands;1993;22000000;25842400;131;73;15968;157;2;3.822;25842400
Shaft;2000;53012900;70327900;100;66;15317;643;2;0.622;107190100
Shakespeare in Love;1998;26000000;100317800;123;71;203985;813;6;3.198;279500000
Shalako;1968;1455000;2620000;113;56;2510;440;2;2.273;2620000
Shall We Dance?;2004;40000000;57887900;109;75;6086;236;3;3.814;118097900
Shallow Hal;2001;40000000;70836300;114;59;122211;781;4;3.713;70836300
Shame;2011;6500000;4002300;115;63;50;715;1;5.035;20412800
Shanghai;2015;50000000;46400;75;66;75;768;4;1.042;15505900
Shanghai Noon;2000;55000000;56932300;110;65;113631;857;3;1.284;71189800
Shanghai Surprise;1986;17000000;2315000;97;32;4766;81;1;6.173;2315000
Shaolin Soccer;2004;10000000;488900;113;73;70076;499;8;2.806;42776000
Shark Night 3D;2011;25000000;18877200;90;40;23557;614;9;1.629;32209700
Shark Tale;2004;75000000;161412000;90;60;157539;559;6;1.61;371917000
Shattered Glass;2003;6000000;2208000;94;71;31839;596;6;0.671;3456600
Shaun of the Dead;2004;5000000;13542900;99;79;480218;388;3;1.804;30332400
She Done Him Wrong;1933;200000;2000000;66;64;5028;599;3;3.506;2000000
She Wore a Yellow Ribbon;1949;1600000;5400000;104;73;14567;286;3;2.797;5400000
Sherlock Holmes;2009;90000000;209028700;116;65;289;167;2;2.395;498438200
Sherlock Holmes: A Game of Shadows;2011;125000000;186848400;129;75;400036;838;9;1.909;535663400
Sherrybaby;2006;2000000;199200;96;66;11203;194;3;5.67;759500
She's All That;1999;10000000;63465500;95;59;79732;911;8;2.525;63465500
She's Gotta Have It;1986;175000;7137500;84;67;8442;338;2;5.917;7137500
She's Out of My League;2010;20000000;32010900;104;64;119014;651;8;3.533;48681000
She's the Man;2006;25000000;33889200;105;63;139057;713;2;2.665;55279600
She's the One;1996;3500000;9482600;96;60;15655;774;2;3.488;13795100
Shine;1996;5500000;35811500;105;77;49145;511;2;3.131;36663900
Shooter;2007;60000000;47003600;124;72;295905;658;4;1.368;95538600
Shooting Fish;1998;4000000;302200;109;66;7165;144;3;0.694;302200
Shopgirl;2005;7500000;10284500;106;63;22799;795;3;4.78;11758400
Shortbus;2006;2000000;1985300;101;64;30746;603;1;5.639;1985300
Shorts;2009;20000000;20919200;89;47;6441;640;6;2.969;29870800
Show Boat;1951;2300000;11000000;147;61;212;141;2;2.837;11000000
Show Me;2005;400000;0;97;57;403;80;4;0;0
Showdown in Little Tokyo;1991;8000000;2275600;79;61;15353;505;2;1.98;2275600
Showgirls;1995;40000000;20350800;128;48;58427;702;7;1.994;37750800
