Film;Paese;Genere;Regista;Protagonista;Cast;Trama;Anno;Durata;Rating;Votanti;LikesFilm;LikesRegista;LikesProtagonista;Budget;IncassiDomestici;IncassiMondiali;Profitto;LunghezzaTrama;NumeroAttori;Morti;SRR
28 Weeks Later;UK;Horror|Sci-Fi|Thriller;Juan Carlos Fresnadillo;Jeremy Renner;Robert Carlyle, Rose Byrne, Jeremy Renner, Idris Elba;"During the original outbreak of the Rage Virus, Don, his wife Alice and four more survivors hide in a barricaded cottage on the outskirts of London. They hear a terrified boy pounding at their door and let him in. A few minutes later, they discover that the infected have followed the boy. The infected attack and kill most of the survivors, while Don, Alice and the boy are chased upstairs. Don pleads with Alice to abandon the boy but she refuses. He abandons them as the infected break into their room by busting out of the window. Don sprints to a nearby motorboat, narrowly escaping after a tussle with a recently turned survivor.
After the infected begin to die of starvation, NATO forces take control of Britain. Twenty-eight weeks after the outbreak, an American commanded force, under the command of Brigadier General Stone, brings in settlers. Among the new arrivals are Don and Alice's children, Tammy and Andy, who were out of the country during the outbreak. They are admitted to District One, a safe zone on the Isle of Dogs, guarded by the US Army. Sergeant Doyle, a Delta Force sniper and his friend, Chief Flynn, a helicopter pilot, are amongst the troops guarding the district. Tammy and Andy are reunited with their father, who was found by the US Army and has become the district's caretaker. In their new flat, Don fabricates a lie about the circumstances surrounding their mother's death.
That night, Andy dreams about forgetting his mother's face, so Tammy and Andy sneak out of the safe zone and return to their former home, where they collect family photographs and other mementos. To his shock, Andy finds Alice alive and uninfected in a semi-conscious, delirious state. The three are soon discovered by soldiers and taken back to District One. Alice is taken to a quarantine room, where she is tested and found to be an asymptomatic carrier of the rage virus. Don makes an unauthorised visit to Alice in her isolation cell, begging her to forgive him. She accepts his apology and tells him she loves him; when they kiss, Don is infected, savagely kills her and goes on a rampage.
General Stone orders the building to be quarantined and orders a Code Red alert in District One. Civilians are herded into safe rooms but despite the precautions, Don breaks into a room full of people and starts a domino effect of rapid infection. The crowd, with half its members infected, breaks out of the safe room and into the streets. Scarlet, a US Army medical officer, rescues Tammy and Andy as the soldiers in District One are ordered to shoot indiscriminately. Doyle, unable to bring himself to comply with the order, abandons his post and escapes with Scarlet, Tammy, Andy and several others through the Greenwich Foot Tunnel. Stone orders District One to be firebombed but large numbers of the infected, including Don, escape the bombardment. Scarlet informs Doyle that the children might hold the key to a cure and must be protected.
Flynn arrives by helicopter to pick up Doyle but refuses to take anyone else, as they would be shot down for carrying people who might be infected. Flynn contacts Doyle by radio and tells him leave the civilians and head to Wembley Stadium. Doyle ignores his instructions and escorts Andy, Tammy and Scarlet to Wembley. They break into an abandoned Volvo V70 to escape nerve gas released to kill the infected but are unable to start the car while soldiers with flamethrowers draw near. Doyle exits the car and sacrifices himself by push starting the car and is flamed. Scarlet escapes an Apache gunship and drives Tammy and Andy into the London Underground, where the trio continues on foot. Don ambushes and kills Scarlet, then bites Andy.
Tammy shoots Don before he can kill Andy, who remains symptom-free but an unknown carrier of the Rage virus. They continue to the stadium and are picked up by a reluctant Flynn, who flies them across the English Channel to France, as instructed by Doyle. Twenty-eight days later, a French-accented voice requesting help is heard from the radio in Flynn's abandoned helicopter. A group of the infected are then seen running through a tunnel which, as they emerge into the open, is revealed to be the exit of the Paris Métro Trocadéro Station with a view across the Seine to the nearby Eiffel Tower.";2007;100;70;245442;856717;0;1869946;15000000;28638900;64232700;49232700;734;4;212;17711
3:10 To Yuma;USA;Adventure|Crime|Drama|Western;James Mangold;Christian Bale;Glenn Ford, Van Heflin, Felicia Farr, Richard Jaeckel;"In the Arizona Territory of the 1880s, rancher Dan Evans (Van Heflin) and his young sons witness a stagecoach holdup. The boys want to try to intervene, but their father warns them that it would be useless to act when they are so heavily outnumbered. When the stagecoach driver overpowers one of the robbers and uses him as a human shield, Ben Wade (Glenn Ford), the leader of the gang, callously shoots both men dead.
Wade and his men stop at the saloon in nearby Bisbee, Arizona, posing as cowhands. Wade stays to seduce the pretty barmaid, Emmy (Felicia Farr). Contrary to his casual violence toward men, Wade shows real tenderness and affection for the lonely woman. He is captured, but his chief henchman Charlie Prince (Richard Jaeckel) gets away with the news. The local people fear what his men will do, so the town marshal decides to have two volunteers sneak the prisoner to Contention City to catch a train, the 3:10 to Yuma. Mr Butterfield (Robert Emhardt), the stage-line owner, offers $200 for the dangerous job. Desperate for cash after three years of drought and feeling disappointed in himself for not being able to provide his family with a better life, Dan jumps at the opportunity. The only other man interested is the town drunk, Alex Potter (Henry Jones). When no one else steps forward, the marshal reluctantly accepts them.
Wade is placed on a stagecoach, which then stops (in view of some of the gang) for a faked repair; the outlaw is secretly taken off while the stage continues on with an imposter, in the hope that, by the time the outlaws figure out what has happened, it will be too late. Wade is taken to Dan's ranch, where he tries to charm Dan's devoted wife Alice (Leora Dana) while she serves supper to the family and Wade. Dan's sons berate the outlaw, but Alice insists that they show proper hospitality to their ""guest"". Once again, Wade displays surprisingly genuine appreciation and respect for a hard-working woman.
Dan, Alex and Wade leave under cover of darkness, reaching Contention City at daybreak. Butterfield has reserved the bridal suite at the hotel. While they wait for the train, Wade tries several times to bribe Dan into letting him go, reminding him that he has a fine wife and family waiting for him. Dan is irritated by Wade's inducements, especially Wade's comments about his wife, but he is greatly tempted by his offers of cash that ""no one will ever know about"". Confident that his men will rescue him before he's taken to the train, Wade never shows anything but calm bemusement to his captor. His interest in Dan seems to go beyond a simple exchange of freedom for cash. The local sheriff is out of town, so Butterfield hires five men to help escort the prisoner to the train.
Things go awry when the slain stagecoach driver's brother, Bob Moons (Sheridan Comerate), barges in unexpectedly, seeking revenge. Dan wrestles his gun away, but in the struggle it goes off. Charlie Prince hears the gunshot and spots Wade in a window. He rides off to fetch the rest of the gang.
The men Butterfield recruited watch as seven outlaws enter the town. Not liking the odds, they retreat, leaving only Dan, Alex and Butterfield. When Alex goes out to reconnoitre he spots one of Wade's men on a rooftop opposite the hotel. Alex calls out, warning Dan, but is shot in the back by Prince. The gang hangs the wounded Alex from the lobby chandelier, killing him. Butterfield decides that Wade is no longer worth the risk, releasing Dan from his obligation, with pay. Alice arrives and also tries to change her husband's mind, but he is committed: ""The town drunk gave his life because he believed that people should be able to live in decency and peace together. You think I can do less?""
When the clock strikes three, Dan escorts Wade out a back door. Gang members take shots whenever they can without endangering Wade, but despite their best efforts they cannot stop the pair from reaching the track side, where the train is waiting.
Finally, the outlaws emerge to confront Dan as the train starts to leave. Prince shouts for Wade to drop down to allow them a clear shot at Dan. Instead, Wade unexpectedly tells Dan to jump into the passing baggage car. They leap to safety together. The gang pursues the train, but Dan shoots Prince and the rest give up pursuit. Wade explains that he owed Dan a favour for saving his life when Bob Moons tried to kill him, and he confidently claims he has broken out of the Yuma jail before (implying he can do so again). Alice sees Dan safe on the train as rain pours down on her, breaking the long drought.";2007;92;76;17003;183955;327;329131;48000000;53606900;71171800;23171800;805;4;45;26087
Death Sentence;USA;Action|Crime|Drama|Thriller;James Wan;Aisha Tyler;Kevin Bacon, Garrett Hedlund, Kelly Preston, John Goodman;"Nick Hume is a businessman living in Boston, Massachusetts with his family. He, his wife Helen and their two sons, Brendan and Lucas, watch Brendan's hockey game. While Nick and Brendan are driving home, they talk about the latter's potential future as a professional hockey player. They stop at a gas station in a bad part of town and during a robbery of the gas station, Joe Darley, a new gang member, slices Brendan's throat with a machete. Nick ambushes the thugs, pulls off Joe's mask and sees his face, but Joe escapes to get hit by a car. Nick rushes Brendan to the hospital, but Brendan dies.
Nick identifies Joe in a line-up, but while meeting with the district attorney, he becomes angry when the DA presents a case that the defense will cut a deal for three to five years of jail time. The DA explains that Nick is the only witness, there were no surveillance cameras, and the defense could gain sympathy for Darley. At a pre-trial hearing, Nick recants his identification so Joe will go free. He follows the gang to their hideout, returning later and stabbing Joe while he is alone. The gang leader, Billy, wants revenge. One of the gang members says his sister saw a man in a suit the night where Joe was killed. Confirming it was Nick from a newspaper picture, they ambush him on the street. After chasing him, they stop at the top of a multi-story parking garage, where Nick gets into a fight with one of the members and traps him in a car and sends him over the edge of the lot.
One of the gang members arrives at the office where Nick works to deliver his suitcase that he dropped during the chase. Nick calls a phone number found in the case, which belongs to Billy. Billy warns that Nick has bought a ""death sentence"" for his family, and reveals that Joe Darley was his brother. Nick immediately calls the police detective assigned to Brendan's case, Jessica Wallis, who is already aware of what Nick started, grants Nick's family police protection, and issues APBs on Billy and his gang. That night, the officers at Nick's house are stealthily killed, but by the time Nick realizes, he finds the gang members are in the house. They attack and subdue Nick, then drag Helen and Lucas downstairs to shoot them and Helen dies.
After Detective Wallis gives a speech that wars are never settled, she lets Nick pay a visit to a comatose Lucas, where he apologizes for not being a better father. Nick escapes from the hospital to go after the remaining gang members, obtaining guns from a black market gun dealer Bones, who is also Billy's father. Nick tracks down Heco, a member of the gang, and interrogates him about where the other members are, learning their lair is an abandoned mental hospital they call ""The Office."" He forces Heco at gunpoint to call Billy's cell phone, and executes Heco while Billy is listening. Bones confronts Billy and criticizes him, but Billy kills him. Nick heads to ""The Office"" to kill the remainder of the gang. After a shootout, he and Billy encounter and seriously wound each other in the hospital chapel. Sitting on the same pew, Billy claims that he turned Nick into a vicious cold-blooded killer, just like him. Nick pulls out one of his guns and kills Billy.
With his family now avenged, Nick returns home, watches his own family's movies and awaits his inevitable arrest. Detective Wallis comes to arrest Nick, but informs him that Lucas has moved and will now live. Nick becomes relieved and looks at the television, which shows the family singing on the couch. Nick's final fate remains unknown.
In the extended version of the film, Nick succumbs to his injuries.";2007;90;64;325;2664;80353;856;20000000;9534300;16907800;-3092200;638;4;15;12539
300;USA;Action|Fantasy|History|War;Zack Snyder;Gerard Butler;Gerard Butler, Lena Headey, David Wenham;"In 481 BC, one year before the Battle of Thermopylae, Dilios, a hoplite in the Spartan Army, begins his story by depicting the life of Leonidas I from childhood to kingship via Spartan doctrine. Dilios's story continues and Persian messengers arrive at the gates of Sparta demanding ""earth and water"" as a token of submission to King Xerxes - the Spartans reply by killing and kicking the messengers into a well. Leonidas then visits the Ephors, proposing a strategy to drive back the numerically superior Persians through the Hot Gates. His plan involves building a wall in order to funnel the Persians into a narrow pass between the rocks and the sea. The Ephors consult the Oracle, who decrees that Sparta will not go to war during the Carneia. As Leonidas angrily departs, a messenger from Xerxes appears, rewarding the Ephors for their covert support.
Although the Ephors have denied him permission to mobilize Sparta's army, Leonidas gathers three hundred of his best soldiers in the guise of his personal bodyguard. They are joined along the way by Arcadians. At Thermopylae, they construct the wall made up of stones and slain Persian scouts as mortar, angering the Persian Emissary. Stelios, an elite Spartan soldier, orders him to go back to the Persian lines and warn Xerxes after cutting off his whipping arm.
Meanwhile, Leonidas encounters Ephialtes, a deformed Spartan whose parents fled Sparta to spare him certain infanticide. Ephialtes asks to redeem his father's name by joining Leonidas' army, warning him of a secret path the Persians could use to outflank and surround the Spartans. Though sympathetic, Leonidas rejects him since his deformity physically prevents him from holding his shield high enough, potentially compromising the phalanx formation, and Ephialtes is enraged.
The battle begins soon after the Spartans' refusal to lay down their weapons. Using the Hot Gates to their advantage, as well as their superior fighting skills, the Spartans repel wave after wave of the advancing Persian army. During a lull in the battle, Xerxes personally approaches Leonidas to persuade him to surrender, offering him wealth and power in exchange for his allegiance. Leonidas declines and mocks Xerxes for the inferior quality of his fanatical warriors. In response, Xerxes sends in his elite guard, the Immortals, later that night. Despite some Spartans being killed, they heroically defeat the Immortals, with slight help from the Arcadians.
On the second day, Xerxes sends in new waves of armies from Asia and other Persian city-states, including war elephants, to crush the Spartans once and for all, but to no avail. Meanwhile, Ephialtes defects to Xerxes to whom he reveals the secret path in exchange for wealth, luxury, women, and a uniform. The Arcadians retreat upon learning of Ephialtes' betrayal, but the Spartans stay. Leonidas orders an injured but reluctant Dilios to return to Sparta and tell them of what has happened, a ""tale of victory"".
In Sparta, Queen Gorgo tries to persuade the Spartan Council to send reinforcements to aid the 300. Theron, a corrupt politician, claims that he ""owns"" the Council and threatens the Queen, who reluctantly submits to his sexual demands in return for his help. When Theron disgraces her in front of the Council, Gorgo kills him out of rage, revealing within his robe a bag of Xerxes' gold. Marking his betrayal, the Council unanimously agrees to send reinforcements. On the third day, the Persians, led by Ephialtes, traverse the secret path, encircling the Spartans. Xerxes' general again demands their surrender. Leonidas seemingly kneels in submission, allowing Stelios to leap over him and kill the general. A furious Xerxes orders his troops to attack. Leonidas rises and throws his spear at Xerxes; barely missing him, the spear cuts across and wounds his face, proving the God-King's mortality. Leonidas and the remaining Spartans fight to the last man until they finally succumb to an arrow barrage.
Dilios, now back at Sparta, concludes his tale before the Council. Inspired by Leonidas' sacrifice, Greece mobilizes. One year later, the Persians face an army of 30,000 free Greeks led by a vanguard of 10,000 Spartans. After one final speech commemorating the 300, Dilios, now head of the Spartan Army, leads them to war, against the Persians across the fields of Plataea.";2007;117;77;701963;10189786;0;4763060;60000000;210614900;454161900;394161900;702;3;600;15670
8MM;Germany;Crime|Mystery|Thriller;Joel Schumacher;Nicolas Cage;Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare, Catherine Keener, Anthony Heald;"Private investigator Tom Welles is contacted by Daniel Longdale, attorney for wealthy widow Mrs. Christian, whose husband has recently died. While clearing out her late husband's safe, she and Mr. Longdale find an 8mm movie which appears to depict a real murder, but Mrs. Christian wants to know for certain.
After looking through missing persons files, Welles discovers the girl is Mary Ann Mathews, and visits her mother, Janet Mathews. While searching the house with her permission, he finds Mary Ann's diary, in which she says she went to Hollywood to become a film star. He asks Mrs. Mathews if she wants to know the truth, even if it is the worst. She says that she wants to know what happened to her daughter.
In Hollywood, with the help of an adult video store employee called Max California, Welles delves into the underworld of illegal pornography. Contact with a sleazy talent scout named Eddie Poole leads them to director Dino Velvet, whose violent pornographic films star a masked man known as ""Machine."" To gain more evidence, Welles pretends to be a client interested in commissioning a hardcore bondage film to be directed by Velvet and starring Machine. Velvet agrees and arranges a meeting in New York City.
At the meeting, attorney Longdale appears and explains that Christian had contracted him to procure a snuff film. Longdale says that he told Velvet that Welles might come looking for them. Realizing that the snuff film was authentic, Welles knows he is at risk. Velvet and Machine produce a bound and beaten California, whom they abducted to force Welles to bring them the only surviving copy of the illegal film. Once he delivers it, they burn it and kill California. As they are about to kill Welles, he tells them that Christian paid $1,000,000 for the film. Velvet, Poole, and Machine received much less and that Longdale kept the major portion. In an ensuing fight, Velvet and Longdale are both killed; Welles wounds Machine and escapes.
He calls Mrs. Christian to tell her his discoveries and recommends going to the police, to which she agrees. Arriving at her estate, Welles is told that Mrs. Christian committed suicide after hearing the news. She left envelopes for the Mathews family and Welles: it contains the rest of his payment and a note reading, ""Try to forget us.""
Welles decides to seek justice for the murdered girl by killing the remaining people involved. Tracking down Poole, Welles takes him to the shooting location and tries to kill him. He calls Mrs. Mathews to tell her about her daughter and asks for her permission to punish those responsible. With that, he returns and pistol-whips Poole to death, burning his body and pornography from his car. Welles traces Machine and attacks him at home. Welles unmasks him, revealing a bald, bespectacled man named George. He says, ""What did you expect? A monster?"" George goes on telling Welles that he has no ulterior motive for his sadistic actions; he does them simply because he enjoys it. They struggle, and Welles kills him.
After returning to his family, Welles receives a letter from Mrs. Mathews, thanking him and suggesting he and she were the only ones to care about Mary Ann.";1999;123;65;117503;1295;785;25042;40000000;36443400;96398800;56398800;535;6;1;18692
Slumdog Millionaire;UK;Drama|Romance|Thriller;Danny Boyle;Anil Kapoor;Dev Patel, Freida Pinto, Anil Kapoor;"18-year-old Jamal Malik, an Indian Muslim from the Dharavi slum, is a contestant on the Indian version of Who Wants to Be a Millionaire?, and is one question away from the grand prize. However, before the ₹20 million (US$310,000) question, he is detained and tortured by the police, who suspect him of cheating because of the impossibility of a simple ""slumdog"" with very little education knowing all the answers. Jamal recounts, through flashbacks, the incidents in his life which provided him with each answer.
Jamal's flashbacks begin with his managing, at age five, to obtain the autograph of Bollywood star Amitabh Bachchan, which his brother Salim then sells, followed immediately by the death of his mother during the Bombay riots. As they flee the riot, the brothers meet Latika, a girl from their slum. Salim is reluctant to take her in, but Jamal suggests that she could be the ""third musketeer"", a character from the Alexandre Dumas novel The Three Musketeers (which they had been studying—albeit not very diligently—in school), whose name they do not know.
The three are found by Maman—a gangster who tricks and then trains street children into becoming beggars. When Salim discovers Maman is blinding the children in order to make them more effective beggars, he flees with Jamal and Latika to a departing train. Latika fails to board the train as Salim purposefully lets go of her hand, in revenge for an extremely embarrassing prank that Latika had played on Salim. This resulted in her being recaptured by Maman. Over the next few years, Salim and Jamal make a living travelling on top of trains, selling goods, picking pockets, working as dish washers, and pretending to be tour guides at the Taj Mahal, where they also steal people's shoes. At Jamal's insistence, they return to Mumbai to find Latika, discovering that she is being raised by Maman to be a prostitute, soon to fetch him a high price as a virgin. The brothers rescue her, and while escaping Maman they shoot him to death. Salim then manages to get a job with Javed—Maman's rival crime lord. Back at their room, Salim orders Jamal to leave him and Latika alone. When Jamal refuses, Salim draws a gun on him, whereas Latika persuades Jamal to obey his brother and go away.
Years later, Jamal, now a Chaiwala in an Indian call centre, searches the centre's database for Salim and Latika. He fails in finding Latika, while succeeding in finding Salim, now a high-ranking lieutenant in Javed's crime organisation. Jamal reproaches Salim, who then pleads for forgiveness, and offers him to stay in his luxurious apartment. Jamal later bluffs his way into Javed's residence to reunite with Latika but as he professes his love for her, Latika asks him to forget about her. Jamal nevertheless promises to wait for her every day at five o'clock at the VT station. Latika attempts to meet him there, but is recaptured by Javed's men, led by Salim, and once Javed moves to another house, outside Mumbai, the two again lose contact. Jamal becomes a contestant on Who Wants to Be a Millionaire?, knowing that she watches the show regularly. Much to the consternation of Prem Kumar, the show's host, Jamal becomes a wonder across India. During a break before Jamal answers the penultimate question, Kumar tries to fool him by feeding him the wrong answer whilst in the men's room. After the break Jamal uses the 50/50 lifeline, leaving Kumar's answer and one other, but chooses the other one.
The episode ends before the final question can be asked, and Kumar leads Jamal out of the studio where he is immediately forced into a police van. After an initial beating, the police inspector listens to Jamal's explanation of how he reached each answer. Finding all of them ""bizarrely plausible"", he allows him back on the show. At Javed's safehouse, Latika sees Jamal on the news and Salim, in an effort to make amends for his past behaviour, gives Latika his mobile phone and car keys, and asks her to forgive him and to go to Jamal. Latika is reluctant out of fear of Javed, but agrees and escapes. Salim fills a bathtub with money and sits in it, awaiting for Javed and his men as they realize that he let Latika free. Jamal's final question is the name of the third musketeer in The Three Musketeers, which he never learned. Jamal uses his ""Phone-A-Friend"" lifeline to call Salim's 'phone, as it is the only phone number he knows. Latika answers the phone, and, while she does not know the answer, tells Jamal that she is safe. Relieved, Jamal arbitrarily picks Aramis, the right answer, and wins the grand prize. Javed hears Latika on the show and realises that Salim has betrayed him. He and his men break down the bathroom door but Salim kills Javed before he is shot, gasping, ""God is great"". Soon thereafter, Jamal and Latika meet on the platform at the railway station and they kiss.";2008;120;80;758440;2469408;58199;668;14000000;141330700;384530400;370530400;834;3;8;31175
The Constant Gardener;UK;Drama|Mystery|Thriller;Fernando Meirelles;Archie Panjabi;Ralph Fiennes, Rachel Weisz, Hubert Koundé;"Justin Quayle (Ralph Fiennes), a shy, low-level British diplomat and horticultural hobbyist posted in Kenya, is one to avoid making a fuss until he learns that his wife Tessa (Rachel Weisz) was found dead in the veld. Tessa has been murdered at a crossroads along with her Kenyan driver. Her colleague, Dr. Arnold Bluhm (Hubert Koundé), is initially suspected of her murder but is later found to have himself been murdered on the same day as Tessa. Various rumours abound that the two were having an affair; however, it is later revealed that Bluhm was gay.
In flashbacks, we see how in London, Justin met his future wife Tessa, an outspoken humanitarian and Amnesty activist. He falls in love with her, and she persuades him to take her back with him to Kenya. Despite their loving marriage, Tessa keeps from Justin the reason why she approached him in the first place: to investigate a suspicious drug trial in Kenya and expose it. When Tessa starts getting too close to uncovering the malpractices of an influential and powerful pharmaceutical company, she and her colleague are brutally murdered.
As the mystery surrounding his wife's death unfolds, Justin becomes determined to get to the bottom of her murder. He soon runs up against a drug corporation that is using Kenya's population for fraudulent testing of a tuberculosis drug (""Dypraxa""). The drug has known harmful side effects, but the corporation completely disregards the well-being of its underprivileged African test subjects.
Sir Bernard Pellegrin (Bill Nighy) heads the Africa Desk at the Foreign Office and is the boss both of Justin and the British High Commissioner, Sandy Woodrow (Danny Huston). In his investigations, Justin discovers that Tessa hid from him a report about the deaths caused by Dypraxa, and he obtains an incriminating letter that Tessa took from Sandy. Justin confronts Sandy, who tells him that what Tessa wanted was to stop the Dypraxa tests and redesign the drug. However, this would have cost millions of dollars and significantly delayed the drug's release, during which time other competing drugs would have surfaced. Pellegrin considered Tessa's report too damaging and proclaimed she had to be stopped. The company threatens Justin: he must stop his investigations or meet his wife's fate. In one instance, agents are sent to beat him up.
Still determined, Justin takes a UN aid plane to the village where the doctor lives who provided Tessa with the clinical data behind her report. The doctor gives Justin a copy of the report, but the village is raided by armed tribesmen on horseback, and Justin and the doctor are forced to flee from the carnage to the plane. Justin has the plane drop him off at the place where Tessa died. There he thinks about Tessa; he tells her memory that he knows all her secrets, that he understands her now, and that he is coming home. Following his reverie, he is killed in an organized hit.
At Tessa and Justin's funeral, Arthur Hammond (Tessa's cousin and Justin's lawyer) reads the incriminating letter written by Bernard Pellegrin to Sandy Woodrow. In the letter, Pellegrin ordered the surveillance of Tessa, expressly to block her reports detailing the deaths caused by Dypraxa, and explains that the company could not be held responsible for the Dypraxa deaths if it never officially received the reports. The scandal having been revealed, Pellegrin leaves the ceremony followed by journalists.";2005;129;74;126892;95216;1728;883;25500000;33579800;86301600;60801600;563;3;18;10657
A History of Violence;USA;Crime|Drama|Thriller;David Cronenberg;Viggo Mortensen;Viggo Mortensen, Maria Bello, Ed Harris;"Tom Stall is a diner owner who lives in the small town of Millbrook, Indiana, with a loving wife Edie, teenage son Jack, and daughter Sarah. One night, two men attempt to rob the restaurant. When a waitress is threatened, Tom deftly kills both robbers with surprising skill and precision. He is hailed as a hero by his family and the townspeople, and the incident makes him a local celebrity. Tom is visited by scarred gangster Carl Fogarty, who alleges that Tom is actually a gangster named Joey Cusack who had dealings with him in the Irish Mob in Philadelphia. Tom vehemently denies this, but Fogarty remains persistent and begins to stalk the Stall family. Under pressure from Fogarty and his newfound fame, Tom's relationships with his family become strained.
Following an argument with his father over the use of violence on a bully at his school, Jack runs away. He is caught by Fogarty, who, with Jack as his hostage, goes with his men to the Stall house and demands that ""Joey"" return to Philadelphia with them. After the gangsters release Jack, Tom is slow to join them in their car, so they attempt to force him to cooperate. Tom kills the two henchmen with the same precision he used against the robbers, but Fogarty shoots Tom before he can do the same to him. As Fogarty stands over Tom, preparing to kill him, Tom finally drops the façade and admits he is indeed Joey. However, before Fogarty can deliver a coup de grâce, Jack kills Fogarty with a shotgun.
At the hospital, Edie confronts Tom, claiming that while he was attacking Fogarty's men, she saw ""the real Joey"" that Fogarty was talking about. Tom shocks Edie by admitting that he is actually Joey Cusack, and that he has killed for both money and pleasure. He tells Edie that he ran away from Philadelphia to escape his violent criminal past. This admission deepens the tensions in their marriage.
After Tom gets out of the hospital, Sam, the local sheriff, pays a visit. Sam expresses confusion about everything that has happened. He tells Tom and Edie that these mobsters wouldn't go to all this trouble if they weren't sure they had the right man. Just when Tom is about to confess, Edie lies to Sam, claiming that Tom is who he says he is, that their family has suffered enough. At a loss for words after Edie breaks down into tears, Sam leaves. Edie and Tom then start slapping and hitting each other, their fight eventually culminating in violent hate sex on the stairs; this is in contrast to the tender and romantic sex they were shown having in the beginning of the film. Afterward, Edie and Jack continue to further distance themselves from Tom, leaving him isolated. He receives a call from his brother Richie Cusack, who also demands his return to Philadelphia, or else he will come to Indiana to find him. After traveling to meet his brother, Tom learns that the other mobsters whom he had offended in Philadelphia took out their frustrations on Richie, penalizing him financially and delaying his advancement in the organization. Tom offers to make peace, but Richie orders his men to kill his brother. Tom manages to kill most of the guards and escape. As Richie and his last henchman are hunting for him, Tom surprises and kills both of them.
Tom returns home, where the atmosphere is tense and silent as the family sits around the dinner table. The future of his marriage and his life as Tom Stall are uncertain, but Jack and Sarah indicate their acceptance of their father by setting a plate for him and passing him some food. The film ends as Edie looks up at Tom, leaving their future in question.";2005;96;74;213705;66656;29947;47335;32000000;31493800;61477800;29477800;631;3;13;23772
A Man Apart;USA;Action|Crime|Drama|Thriller;F. Gary Gray;Vin Diesel;Vin Diesel, Larenz Tate, Timothy Olyphant;"Sean Vetter (Vin Diesel) and Demetrius Hicks (Larenz Tate), who are former criminals, are members of the U.S. DEA working on the California/Mexico border. After arresting a drug baron named Memo Lucero (Geno Silva), the mysterious ""Diablo"" starts to take over Memo's drug pipeline and territory, and to send a warning message to the DEA, organizes the assassination of Vetter. The assassination is botched and Vetter survives, but his wife, Stacy (Jacqueline Obradors), is killed in the crossfire.
Looking for revenge, Vetter acts outside the law to punish his wife's murderers. To accomplish that, he asks Memo, who is now in prison, for help finding Diablo. After Memo's wife and son are also assassinated by Diablo he agrees to help Vetter. With Hicks' help, Vetter hunts every member of the cartel from the bottom to the top of the organization's hierarchy and finds that Memo is linked to the recent activities.
Vetter gets help from Lucero to find Diablo and later finds out that he killed Lucero's right hand man, who was posing as Diablo. Sometime later, Vetter confronts Lucero in Mexico, and Lucero tells him that his arrogance got Stacy killed, just like him coming to ""kill"" Lucero. Vetter pulls out the handcuffs and repeats to Lucero what Lucero said to him, ""If I wanted you dead. You would be."", Tons of undercover DEA Agents pop out of nowhere and take Lucero back into custody. We're left with the impression that Luceri is Diablo and he ordered the hit of his own family and Sean (to escape prison).";2003;109;61;42852;89575;0;97091653;36000000;26500000;43797700;7797700;257;3;39;11673
